season,name,nationality,type,team,price
2023,Upendra Singh Yadav ,Indian ,Wicket Keeper , Sunrisers Hyderabad,2500000
2023,Nitish Kumar Reddy ,Indian ,Wicket Keeper , Sunrisers Hyderabad,2000000
2023,Mayank Agarwal ,Indian ,Batsman , Sunrisers Hyderabad,82500000
2023,Mayank Dagar ,Indian ,All Rounder , Sunrisers Hyderabad,18000000
2022,Robin Uthappa ,Indian ,Batsman , Chennai Super Kings,20000000
2022,Dwayne Bravo ,Overseas ,All Rounder , Chennai Super Kings,44000000
2022,Ambati Rayudu ,Indian ,Wicket Keeper , Chennai Super Kings,67500000
2022,Deepak Chahar ,Indian ,Bowler , Chennai Super Kings,140000000
2022,C.Hari Nishaanth ,Indian ,Batsman , Chennai Super Kings,2000000
2022,N. Jagadeesan ,Indian ,Wicket Keeper , Chennai Super Kings,2000000
2022,K.M. Asif ,Indian ,Bowler , Chennai Super Kings,2000000
2022,Tushar Deshpande ,Indian ,Bowler , Chennai Super Kings,2000000
2022,Shivam Dube ,Indian ,All Rounder , Chennai Super Kings,40000000
2022,Chris Jordan ,Overseas ,All Rounder , Chennai Super Kings,36000000
2022,Maheesh Theekshana ,Overseas ,Bowler , Chennai Super Kings,7000000
2022,Rajvardhan Hangargekar ,Indian ,All Rounder , Chennai Super Kings,15000000
2022,Simarjeet Singh ,Indian ,Bowler , Chennai Super Kings,2000000
2022,Devon Conway ,Overseas ,Batsman , Chennai Super Kings,10000000
2022,Dwaine Pretorius ,Overseas ,All Rounder , Chennai Super Kings,5000000
2022,Mitchell Santner ,Overseas ,All Rounder , Chennai Super Kings,19000000
2022,Adam Milne ,Overseas ,Bowler , Chennai Super Kings,19000000
2022,Subhranshu Senapati ,Indian ,Batsman , Chennai Super Kings,2000000
2022,Mukesh Choudhary ,Indian ,Bowler , Chennai Super Kings,2000000
2022,Prashant Solanki ,Indian ,Bowler , Chennai Super Kings,12000000
2022,K.Bhagath Varma ,Indian ,All Rounder , Chennai Super Kings,2000000
2022,David Warner ,Overseas ,Batsman , Delhi Capitals,62500000
2022,Mitchell Marsh ,Overseas ,All Rounder , Delhi Capitals,65000000
2022,Mustafizur Rahman ,Overseas ,Bowler , Delhi Capitals,20000000
2022,Shardul Thakur ,Indian ,Bowler , Delhi Capitals,107500000
2022,Kuldeep Yadav ,Indian ,Bowler , Delhi Capitals,20000000
2022,Ashwin Hebbar ,Indian ,Batsman , Delhi Capitals,2000000
2022,Sarfaraz Khan ,Indian ,All Rounder , Delhi Capitals,2000000
2022,Kamlesh Nagarkoti ,Indian ,All Rounder , Delhi Capitals,11000000
